close,high,low,open
11.06,11.15,10.85,11.1
11.06,12,10.8,11.06
11.39,11.6,11.01,11.06
11.51,11.6,11.39,11.39
11.62,11.77,11.45,11.51
12.04,12.05,11.49,11.62
12.19,12.34,11.89,12.04
13.25,13.25,12.16,12.19
13.5,13.84,12.5,13.25
11.58,15.4,10.6,13.5
11.61,12.9,11.02,11.58
8,11.62,7.58,11.61
10.1,10.5,7.81,8
9.915,10.3,9.699,10.1
9.807,10.1,9.571,9.915
10.1,10.25,9.705,9.807
10.6,10.62,9.852,10.1
10.52,10.63,10.2,10.6
10.61,10.62,10.45,10.52
10.95,12.15,10.54,10.61
10.94,11.21,10.5,10.95
10.92,11.13,10.55,10.94
10.78,10.93,10.6,10.92
10.16,10.83,9.66,10.78
9.965,10.3,9.776,10.16
10.2,10.36,9.719,9.965
10.53,10.59,10.09,10.2
10.38,10.53,10.15,10.53
11,11.17,10.26,10.38
11.18,11.29,10.64,11
11,11.21,10.95,11.18
11.04,11.14,10.77,11
11.02,11.14,10.92,11.04
11.17,11.19,10.87,11.02
11.33,11.35,10.88,11.17
11.36,11.39,10.78,11.33
11.4,11.4,11.22,11.36
11.67,11.8,11.32,11.4
11.75,11.79,11.6,11.67
11.87,11.99,11.72,11.75
11.89,11.96,11.77,11.87
12.25,12.35,11.84,11.89
12.57,12.69,12.15,12.25
12.28,12.66,12.25,12.57
12.37,12.5,12.01,12.28
12.24,12.4,12.14,12.37
12.19,12.27,11.63,12.24
12.1,12.3,11.95,12.19
12.2,12.23,12.01,12.1
12.27,12.46,12.02,12.2
12.31,12.4,12.21,12.27
12.39,12.45,12.12,12.31
12.36,12.49,12.21,12.39
12.4,12.45,12.3,12.36
12.4,12.48,12.32,12.4
12.84,12.88,12.34,12.4
12.89,12.99,12.68,12.84
12.85,13.09,12.6,12.89
12.69,12.97,12.51,12.85
12.51,12.86,12.35,12.69
11.8,12.62,11.7,12.51
11.78,11.95,10.62,11.8
11.9,12.35,11.57,11.78
12.12,12.19,11.77,11.9
12.03,12.15,11.86,12.12
12,12.15,11.92,12.03
11.86,12.11,11.85,12
11.74,12.03,11.5,11.86
11.84,11.99,11.43,11.74
11.85,11.99,11.5,11.84
11.81,11.96,11.7,11.85
11.94,11.96,11.75,11.81
11.74,11.97,11.62,11.94
11.74,11.85,11.56,11.74
11.63,11.77,11.61,11.74
11.71,11.81,11.47,11.63
11.65,12,11.41,11.71
11.65,11.79,11.59,11.65
10.86,11.7,10.52,11.65
10.17,10.95,9.74,10.86
10.26,10.84,9.822,10.17
10.7,10.95,10.25,10.26
10.6,10.94,10.32,10.7
10.89,10.89,10.58,10.6
11.2,11.21,10.71,10.89
10.57,11.28,10.4,11.2
10.47,10.8,10.33,10.57
10.64,10.65,10.4,10.47
10.8,10.9,10.51,10.64
10.75,10.88,10.61,10.8
10.9,10.9,10.67,10.75
10.92,11.22,10.8,10.9
10.93,11.07,10.75,10.92
10.82,10.98,10.79,10.93
10.89,10.96,10.75,10.82
10.87,10.94,10.7,10.89
11.01,11.18,10.77,10.87
10.95,11.13,10.92,11.01
